Date,Company,Ticker,Sentiment,Title
2024-08-29,geb,GEB.CL,-0.3182,Skeptical Science New Research for Week #35 2024
2024-08-29,braskem,BAK,-0.6124,China Reminds South Korea That Time Isn’t On Its Side
2024-08-30,cemig,CIG,-0.8063,The best memes about Keir Starmer’s proposed smoking ban
2024-08-30,braskem,BAK,-0.8519,RVFV virulence factor NSs triggers the mitochondrial MCL-1-BAK axis to activate pathogenic NLRP3 pyroptosis
2024-09-02,cemig,CIG,-0.8591,Putin warns students about vapes
2024-09-03,braskem,BAK,-0.9371,Norovirus-mediated translation repression promotes macrophage cell death
2024-09-05,braskem,BAK,-0.9657,Centrosome amplification primes ovarian cancer cells for apoptosis and potentiates the response to chemotherapy
2024-09-05,enel_chile,ENIC,-0.5994,Laboratory evidence of the nonresonant streaming instability in the formation of quasiparallel collisionless shocks at high Alfvénic Mach number
2024-09-05,cemig,CIG,-0.932,Teenage E-Cigarette Use Drops to a 10-Year Low
2024-09-06,cemig,CIG,-0.802,29 Hotel Employees Share Their Most Unforgettable Moments With Guests
2024-09-06,braskem,BAK,-0.8225,Braskem SA faces $5 billion lawsuit over damages
2024-09-10,geb,GEB.CL,-0.8979,Bogotá Adds Risk of Power Cuts to Its Months-Long Water Shortage
2024-09-10,copel,ELP,-0.9719,Phycocyanin attenuates skeletal muscle damage and fatigue via modulation of Nrf2 and IRS-1/AKT/mTOR pathway in exercise-induced oxidative stress in rats
2024-09-10,companhia_paranaense_de_energia,ELP,-0.9719,Phycocyanin attenuates skeletal muscle damage and fatigue via modulation of Nrf2 and IRS-1/AKT/mTOR pathway in exercise-induced oxidative stress in rats
2024-09-10,braskem,BAK,-0.7783,CosmicBeetle steps up: Probation period at RansomHub
2024-09-11,braskem,BAK,-0.3612,Oil Giant ADNOC Set to Make Formal $16-Billion Offer for Covestro
2024-09-12,braskem,BAK,-0.8271,Police investigating e-commerce platform Qoo10 over payment delays to vendors
2024-09-12,geb,GEB.CL,-0.1655,Skeptical Science New Research for Week #37 2024
2024-09-13,braskem,BAK,-0.5214,Lock out SIRT4
2024-09-13,ypf,YPF,-0.2732,Latin America Is Rewriting the Rules and Spooking Investors
2024-09-16,braskem,BAK,-0.4939,"Hacker Claims Breach of UK’s Experience Engine, Data Sold Online"
2024-09-17,geb,GEB.CL,-0.975,Distribution and habitat use patterns of the endangered Central American clouded oncilla (Leopardus pardinoides oncilla) in Costa Rica
2024-09-17,centrais_eletricas_brasileiras,EBR,-0.5267,"Jefferies cuts D'Ieteren Group stock target, downgrades to Hold rating"
2024-09-17,petrobras,PBR,-0.886,Tech Tuesdays: Product Discovery Challenges + the Woes of Returns
2024-09-17,petrobras,PBR,-0.1027,Big Agribusiness: A Look at Brazil’s Disastrous Rural Feudalism
2024-09-17,eletrobras,EBR,-0.5267,"Jefferies cuts D'Ieteren Group stock target, downgrades to Hold rating"
2024-09-18,companhia_paranaense_de_energia,ELP,-0.9328,Targeting ferroptosis with the lipoxygenase inhibitor PTC-041 as a therapeutic strategy for the treatment of Parkinson’s disease
2024-09-18,petrobras,PBR,-0.0772,Worn Industrial Surfaces Superpack by Shaded Spectrum
2024-09-18,copel,ELP,-0.9328,Targeting ferroptosis with the lipoxygenase inhibitor PTC-041 as a therapeutic strategy for the treatment of Parkinson’s disease
2024-09-19,geb,GEB.CL,-0.4449,Teamsters Pave the Way for Trump
2024-09-20,companhia_siderurgica_nacional,SID,-0.9393,Lux Living owners indicted on minority hiring fraud charges
2024-09-20,companhia_siderurgica_nacional,SID,-0.9867,US Soft Intervention in One of The World’s Hardest Conflicts
2024-09-20,companhia_siderurgica_nacional,SID,-0.9393,Lux Living owners indicted on fraud charges alleging minority hiring scheme
2024-09-20,companhia_siderurgica_nacional,SID,-0.7184,Bleeding Cool Presents: Image Comics Full December 2024 Solicits
2024-09-20,companhia_siderurgica_nacional,SID,-0.5267,Middlefield Canadian Income PCC - Half-year report
