Date,Company,Ticker,Sentiment,Title
2024-08-10,ypf,YPF,-0.0516,The hunt for Argentina’s ‘alter egos’ in $16bn US court fight
2024-08-12,ypf,YPF,-0.2411,Earnings call: Central Puerto reports mixed Q2 2024 results amid new projects
2024-08-12,minas_buenaventura,BVN,-0.765,NDIC pays 82% of defunct Heritage Bank depositors
2024-08-15,vista_energy,VIST,-0.7184,Effect of low-intensity pulsed ultrasound on postoperative rehabilitation of rotator cuff tears: Protocol for a systematic review and meta-analysis
2024-08-16,ypf,YPF,-0.5859,Conflict Is Brewing in Libya Once Again
2024-08-20,vista_energy,VIST,-0.3612,"JPMorgan sees upside in Vista Oil & Gas stock, strategic focus on Argentinian shale"
2024-08-22,vista_energy,VIST,-0.6808,"A minimum data set—Core outcome set, core data elements, and core measurement set—For degenerative cervical myelopathy research (AO Spine RECODE DCM): A consensus study"
2024-08-23,minas_buenaventura,BVN,-0.8934,Fidelity Bank faults NDPC data breach allegation
2024-08-26,petrobras,PBR,-0.1531,50 Evil Masks Mega Pack - Rangers Low Poly Mask by Laxminarayan Artistry
2024-08-26,petrobras,PBR,-0.4404,"Morgan Stanley lifts Petrobras stock rating to overweight, raises PT to $20"
2024-08-26,petrobras,PBR,-0.312,Demon horror pack by Strellok
2024-08-27,petrobras,PBR,-0.0958,Lula’s Push for Natural Gas Raises Intervention Fears in Brazil
2024-08-27,petrobras,PBR,-0.34,Libya Supply Outage Sparks Uncertainty in Oil Markets
2024-08-28,aes_andes,AES,-0.4939,"New LummaC2 Malware Variant Uses PowerShell, Obfuscation to Steal Data"
2024-08-28,vista_energy,VIST,-0.9267,'This story is from Mississippi': PA Democrats pounce as rival conflates Philadelphias
2024-08-28,vista_energy,VIST,-0.9806,'Sickening': Trump post spurs outrage — and new accusations that he broke the law
2024-08-28,minas_buenaventura,BVN,-0.9643,"Rivers family accuses police of son’s arrest, torture"
2024-08-28,vista_energy,VIST,-0.891,Stolen influencer pics used to promote Trump could be 'tip of the iceberg': report
2024-08-28,aes_andes,AES,-0.0772,These Are The Last 2 Cheap Utility Dividends
2024-08-30,interconexion_electrica,ISA,-0.7184,NFRA-ICAI tussle over key audit standard overhaul: CA Institute Council to meet on Sep 17 to discuss future strategy
2024-08-30,aes_andes,AES,-0.8442,Silent Intrusions: Godzilla Fileless Backdoors Targeting Atlassian Confluence
2024-08-30,aes_andes,AES,-0.8689,Sabatolimab in combination with spartalizumab in patients with non-small cell lung cancer or melanoma who received prior treatment with anti-PD-1/PD-L1 therapy: a phase 2 multicentre study
2024-08-30,aes_andes,AES,-0.0258,Amazon Deal: The 4TB Samsung T5 EVO SSD drops to its lowest price
2024-08-30,aes_andes,AES,-0.5994,Cyberattackers use fake Palo Alto GlobalProtect to backdoor Middle East firms
2024-08-30,aes_andes,AES,-0.91,North Korean threat actor Citrine Sleet exploiting Chromium zero-day | Microsoft Security Blog
