,Open,High,Low,Close,Volume,Dividends,Stock Splits,Year,Month,Day,SMA50,SMA200,EMA20,RSI,MACD,MACD_Signal,MACD_Hist,ATR,Stoch_K,Stoch_D,OBV,Volume_SMA20,Relative_Volume,ROC,Daily_Return,Volatility
Open,1.0,0.9948697692594696,0.9934142444417373,0.9865651502812667,-0.12933131300578132,0.012842103860901203,,-0.5703173337046575,-0.011724499205799587,0.005061454205447927,0.6577392224057422,0.6797622519709403,0.9131085272614463,0.4773361829345423,0.6035486321535114,0.6217577890728422,0.08294148997977867,0.6319651639765222,0.23552230582163328,0.3021667074056724,0.829322249896257,-0.24782256391164867,-0.015823819208288945,0.2870232767345118,-0.029976540738568952,0.25563888549829733
High,0.9948697692594696,1.0,0.9934278698480165,0.9939625305832727,-0.10067801103940084,0.008580477627573175,,-0.5765335443709851,-0.019802294910262964,0.004446473209150327,0.6609234694713302,0.6889087641818158,0.9095435380591512,0.49769700192911126,0.6000858844670486,0.6116016558710836,0.09964238003162733,0.6454410146003076,0.2665496060568194,0.315342357278085,0.8387075205464808,-0.2336518828554422,0.007467198904304738,0.3069343726094689,0.03653237841680653,0.27668667452191625
Low,0.9934142444417373,0.9934278698480165,1.0,0.9946500489365112,-0.17839904156057287,0.01482367339148549,,-0.5620008437453348,-0.00803642661894924,0.013734927712114429,0.6371254883347189,0.6655241928244199,0.8994397099380592,0.5145926186163313,0.6227924533923328,0.6317298229449959,0.11127036186336003,0.6036510590124514,0.2756241631838799,0.3261141286074887,0.8317777302055237,-0.2620590751774969,-0.06455272097115315,0.3258687065301456,0.03941116430709775,0.23401386501371776
Close,0.9865651502812667,0.9939625305832727,0.9946500489365112,1.0,-0.14573720484521763,0.011951964653089512,,-0.5674156534364729,-0.018818280903631857,0.015091876145112277,0.6445251902211643,0.6765422149395292,0.8971486696394995,0.528753389158633,0.6123712617961685,0.6164135610479007,0.1217796537035161,0.6213846297831471,0.30372447128854596,0.33426046977182805,0.8409775421286471,-0.24601382244067058,-0.03787699995133989,0.341187791843485,0.10617779248074814,0.2575213400289944
Volume,-0.12933131300578132,-0.10067801103940084,-0.17839904156057287,-0.14573720484521763,1.0,-0.004113133240897989,,-0.026822680671923387,-0.10631648248292164,-0.10106442638783819,0.029913762641735696,0.08913633876533891,-0.08127481113369882,-0.13802817907037962,-0.1977265385424241,-0.19896769292123928,-0.03948800486319143,0.1766604509999701,-0.07870367017937982,-0.07349197651211284,-0.16407358047650353,0.4023466446319243,0.861575156526738,-0.12389915466734797,-0.01931086680491873,0.28579293900075897
Dividends,0.012842103860901203,0.008580477627573175,0.01482367339148549,0.011951964653089512,-0.004113133240897989,1.0,,0.0527586701772911,-0.017867941745373244,-0.072175846653435,-0.011946576201126723,-0.04067548470327295,0.013958547204547655,0.006494369209063843,0.027692690759149673,0.04069159172821524,-0.027903381228018963,-0.00537574322735946,-0.027572081956470686,-0.018619611438387543,0.044150297212596924,-0.014381762315129885,0.0025699375544878614,0.006847448640238536,0.010241539110903806,-0.013759356185125042
Stock Splits,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,-0.5703173337046575,-0.5765335443709851,-0.5620008437453348,-0.5674156534364729,-0.026822680671923387,0.0527586701772911,,1.0,-0.5048231747718435,-0.06266087378782313,-0.778395418346435,-0.8601847755350862,-0.6833642269238831,0.07089678035038538,0.06806609728544973,0.030876766326712116,0.11165682115837122,-0.6999239760255775,0.04834366859858355,0.053175580908615676,-0.34963661546604735,-0.07265363793590845,0.009166884500257351,0.073036686667305,0.005370096566506738,-0.39647775203055935
Month,-0.011724499205799587,-0.019802294910262964,-0.00803642661894924,-0.018818280903631857,-0.10631648248292164,-0.017867941745373244,,-0.5048231747718435,1.0,0.012147490154911133,0.12764624155370619,0.024559196319804525,0.07275905623331302,-0.23442087588400545,-0.1621533018171278,-0.09982439039768308,-0.1975234315908278,-0.08696694517378319,-0.169350543921151,-0.18253340808987845,-0.18234142609589107,-0.22280787225822107,-0.005471701111058889,-0.2017059450043465,-0.04961213450541738,-0.24462735823424836
Day,0.005061454205447927,0.004446473209150327,0.013734927712114429,0.015091876145112277,-0.10106442638783819,-0.072175846653435,,-0.06266087378782313,0.012147490154911133,1.0,0.007227328620161956,0.01764328510232474,0.012349899150787613,-0.013931056459262904,0.021626832520673597,0.022383564477064966,0.0027002618062236506,0.013619558688325506,-0.05328558331483472,-0.045885403103075366,-0.000613204085399533,0.0178374296996543,-0.11639001751955444,-0.00593986363157478,0.025450390669677653,0.0355844605243979
