,Open,High,Low,Close,Volume,Dividends,Stock Splits,Year,Month,Day,SMA50,SMA200,EMA20,RSI,MACD,MACD_Signal,MACD_Hist,ATR,Stoch_K,Stoch_D,OBV,Volume_SMA20,Relative_Volume,ROC,Daily_Return,Volatility
Open,1.0,0.9967148657883705,0.9949724454212423,0.9908579760644319,-0.37646601505111443,0.050264232761515544,0.06502162302671807,0.7576281837445002,-0.02506514187409796,-0.00767466530541747,0.9025725387909258,0.7503722914692588,0.9619712507214879,0.3725155815537719,0.5091698243352765,0.4846496865060066,0.19806254666826376,-0.13552460051801204,0.2696151636241671,0.3260819310778853,0.8398598346865997,-0.6821631921383939,-0.00529896584733678,0.24378980934292027,-0.01848292882916241,-0.4303956580141556
High,0.9967148657883705,1.0,0.9958392685154903,0.9960508096802851,-0.3624202289360824,0.058725375513161475,0.06464725412106949,0.7554857264207259,-0.019124257502021295,-0.008647138463814064,0.9028656772043494,0.7553444152131923,0.9595009345087443,0.3923013471514072,0.5073083210239749,0.47526228550362265,0.2132531056078449,-0.11899114695794327,0.2964475658648024,0.33529866616049436,0.8407363451109244,-0.6748236294182247,0.007826183903180212,0.2618449019677594,0.031542735677738166,-0.41672187999990584
Low,0.9949724454212423,0.9958392685154903,1.0,0.9968160542332573,-0.38880986091151853,0.05663893607020709,0.05977811520086871,0.7620084803169921,-0.028711887097576057,-0.008636641713780943,0.9036144780501565,0.751111150211178,0.9598768714522247,0.39370072610994195,0.5001792677224175,0.47023481969203446,0.2068055957913764,-0.15714257589431682,0.29565574640317027,0.330169311655176,0.8450019283530915,-0.6886073017440296,-0.026904050594232478,0.2591501593337284,0.045065541773793155,-0.4450416631105182
Close,0.9908579760644319,0.9960508096802851,0.9968160542332573,1.0,-0.37532185472150026,0.06206880887593839,0.05911955972469241,0.756604152841277,-0.026524359093297145,-0.010909709712393405,0.8978283364108877,0.7471711806507639,0.9549489273976829,0.4162937360991576,0.50737644745604,0.472277762853317,0.21965205875074828,-0.14046796261751557,0.3225705506726931,0.3395730280216471,0.839567013963243,-0.6804903200483674,-0.009042590773543458,0.2764950547597127,0.08964983793009669,-0.4329764147962894
Volume,-0.37646601505111443,-0.3624202289360824,-0.38880986091151853,-0.37532185472150026,1.0,-0.036694596536657964,-0.025629381715316344,-0.4391287447103669,0.14561625133728723,0.05942115458360253,-0.3584950750917405,-0.30521861353054,-0.3893475816417824,-0.07820163551083288,-0.1472911759162972,-0.17902654997816178,0.023847320311167305,0.2727031834266554,-0.026532394345001317,-0.047803892010390765,-0.42614829759631123,0.5310333512140457,0.6776940919422676,-0.02662833656652311,0.0061619758655578356,0.4483040912803788
Dividends,0.050264232761515544,0.058725375513161475,0.05663893607020709,0.06206880887593839,-0.036694596536657964,1.0,-0.005767126969722596,0.005198809565071332,0.07379813087902048,0.09739395867632414,0.03422647076514046,0.05410872774794852,0.034772507467528094,0.07910472582212731,0.04964656095545162,0.008923114380688664,0.09941809082964731,0.04307558886575157,0.11129680532988402,0.08095352061956716,0.04458078090664263,-0.033085748880625786,-0.045596364844397365,0.11313071316385269,0.07875847788537278,-0.008185957164676624
Stock Splits,0.06502162302671807,0.06464725412106949,0.05977811520086871,0.05911955972469241,-0.025629381715316344,-0.005767126969722596,1.0,0.053162862378342564,-0.018325395118017944,0.043015613086044985,0.05817777045059025,0.05266729803587507,0.0652931902641449,0.003818767354440854,0.03332215767765483,0.04690793135047888,-0.018782439762975087,0.04160553308945871,-0.0038945637514738803,-0.004497723496713603,0.05104767208120104,-0.04037665995395495,-0.014999228896887389,0.0167436721455803,-0.0018841145182481578,0.01882710070803649
Year,0.7576281837445002,0.7554857264207259,0.7620084803169921,0.756604152841277,-0.4391287447103669,0.005198809565071332,0.053162862378342564,1.0,-0.5143929795334814,-0.05186432539567486,0.7453053839981623,0.7604372041614014,0.7761914161652143,0.16915945833892593,0.28461237189325134,0.3204889867774528,0.007095630720133793,-0.3084478442259923,0.03196039570467746,0.046349187320569696,0.8275516847220504,-0.7957951058865429,-0.007865716101454636,0.061694572382724626,0.005248158905396335,-0.5853067712374933
Month,-0.02506514187409796,-0.019124257502021295,-0.028711887097576057,-0.026524359093297145,0.14561625133728723,0.07379813087902048,-0.018325395118017944,-0.5143929795334814,1.0,0.0069519356334856175,0.11550888544001052,0.0696964620138844,0.018941505978526174,-0.19521673831954967,-0.30428161415783805,-0.3456149991190517,-0.0013639930779167598,0.41954732594734584,0.025655124263187157,0.008035214268885885,-0.007144764787948824,0.292990083707365,-0.003136943794008405,-0.07695675398461466,-0.005639410395800699,0.4494803257750024
Day,-0.00767466530541747,-0.008647138463814064,-0.008636641713780943,-0.010909709712393405,0.05942115458360253,0.09739395867632414,0.043015613086044985,-0.05186432539567486,0.0069519356334856175,1.0,0.0012384045753776848,-0.01152318065414555,-0.0034047344842788804,-0.028109701171752054,0.013743245840284513,0.012662064383307074,0.006222335382970282,0.017639726865008913,0.010587601495375545,0.0375202204643984,-0.018163338839524163,0.0011594285475739073,0.07855756855846266,-0.018458769048004323,-0.02546045636786365,0.04260394294443388
SMA50,0.9025725387909258,0.9028656772043494,0.9036144780501565,0.8978283364108877,-0.3584950750917405,0.03422647076514046,0.05817777045059025,0.7453053839981623,0.11550888544001052,0.0012384045753776848,1.0,0.8439048898253834,0.9671044869728581,0.017581569361609258,0.12372972229131887,0.16110672365622913,-0.042431022339211616,-0.11337164901463752,0.022670508361231752,0.0339615668065535,0.8935386961206507,-0.6766539661367119,0.014365808671501463,-0.0232745210372075,-0.019932190637836796,-0.38927547324310263
SMA200,0.7503722914692588,0.7553444152131923,0.751111150211178,0.7471711806507639,-0.30521861353054,0.05410872774794852,0.05266729803587507,0.7604372041614014,0.0696964620138844,-0.01152318065414555,0.8439048898253834,1.0,0.7992493748588082,0.02688351667726569,0.06921332075777685,0.06419505927200904,0.030444928125205904,0.10383839448257834,0.03997159710924061,0.04761376954589955,0.8912183465322918,-0.544395839876832,-0.012290056972677196,0.0014491798078516117,-0.005123249372277364,-0.1643917274282261
EMA20,0.9619712507214879,0.9595009345087443,0.9598768714522247,0.9549489273976829,-0.3893475816417824,0.034772507467528094,0.0652931902641449,0.7761914161652143,0.018941505978526174,-0.0034047344842788804,0.9671044869728581,0.7992493748588082,1.0,0.14056882882419594,0.33434978930311915,0.39681502639941585,-0.03412625094157443,-0.1272044660595337,0.06170390330128104,0.0979372556431985,0.8736035916068596,-0.7058696772198849,-0.002848832869857279,0.024224440205693722,-0.04115618076481179,-0.4355115887297173
RSI,0.3725155815537719,0.3923013471514072,0.39370072610994195,0.4162937360991576,-0.07820163551083288,0.07910472582212731,0.003818767354440854,0.16915945833892593,-0.19521673831954967,-0.028109701171752054,0.017581569361609258,0.02688351667726569,0.14056882882419594,1.0,0.7693237040265106,0.5019374246952761,0.7806113530230064,-0.09225712606420003,0.8622907654484522,0.8407346822561069,0.13681613047457633,-0.1149436965599434,-0.036936791198395366,0.8118959196852037,0.34660710654143634,-0.1494338250058713
