,Open,High,Low,Close,Volume,Dividends,Stock Splits,Year,Month,Day,SMA50,SMA200,EMA20,RSI,MACD,MACD_Signal,MACD_Hist,ATR,Stoch_K,Stoch_D,OBV,Volume_SMA20,Relative_Volume,ROC,Daily_Return,Volatility
Open,1.0,0.9933044032406022,0.9937749829777343,0.9860073915696133,0.06977936751054825,-0.014724385218617886,,-0.130888777056627,0.13588385108901713,-0.011693115255975254,0.6854396386689092,-0.07307835205759439,0.9164167457829464,0.42650828736701635,0.5301893730903504,0.55555204302317,0.03674854343583085,0.3206698532340062,0.2910507764472175,0.35376993550451297,0.6348009905533308,0.14148377557032094,-0.03352725096663136,0.2522083916056625,-0.018334255091670706,0.23815572315095915
High,0.9933044032406022,1.0,0.9932142149157108,0.9941105084552362,0.10771038198473769,-0.010389556046471652,,-0.15946847678533047,0.1477913015455927,-0.013671596559253261,0.6827083796803701,-0.06281016559239787,0.9121770913003806,0.447256366411989,0.5307146481825221,0.5514679518253591,0.05066062515160169,0.35021011536519164,0.32192938140667593,0.36046801373675164,0.6283114074422966,0.17548295551316279,-0.018831098582685786,0.2727035109914659,0.05121623733951387,0.26510157958138775
Low,0.9937749829777343,0.9932142149157108,1.0,0.9946890819518459,0.04264920508252535,-0.008814961777627518,,-0.11275422510730962,0.13097428202322525,-0.007869909894603984,0.6728576845292922,-0.08970564312014671,0.90836335953089,0.4572199428962655,0.541634504703869,0.5628843564358179,0.05149482379485646,0.2933734480659612,0.3290394042756961,0.3677084009535891,0.6453846534015687,0.12306355056120391,-0.06254291336254293,0.2799279508092062,0.05223169298421187,0.2206905144981694
Close,0.9860073915696133,0.9941105084552362,0.9946890819518459,1.0,0.07392216996848515,-0.005580969414805651,,-0.13317122064842532,0.13723166430889278,-0.005326076375645386,0.6737389348365551,-0.07754853404521753,0.9062054602691672,0.46805038303628593,0.5363869821434175,0.5558359712587695,0.05577131824139742,0.31729476128997597,0.3516324810232178,0.3670860693350695,0.639489817720097,0.14789799390724373,-0.04354244497832866,0.28793679232253055,0.10863903152349345,0.24196227023546246
Volume,0.06977936751054825,0.10771038198473769,0.04264920508252535,0.07392216996848515,1.0,-0.020787022072094947,,-0.4225403889103326,0.1349279033024075,-0.031463428758661795,0.19251729206850438,0.3171887368865635,0.11986021120042639,-0.09779119743267346,-0.10584157789504003,-0.11733161145642021,0.011906003969476584,0.49895568381462296,-0.04350095256193093,-0.03703388255848128,-0.1949930629709396,0.6089543826813395,0.6645257217201183,-0.07488842998002539,-0.04443800876209698,0.3854649895183017
Dividends,-0.014724385218617886,-0.010389556046471652,-0.008814961777627518,-0.005580969414805651,-0.020787022072094947,1.0,,0.037490382158918,-0.024948799686460275,-0.0625161707856204,-0.015390309065055448,0.014512192824327407,-0.02795814646508473,0.04872844209410577,-0.00358017215354065,-0.029885032081902033,0.07799582991355374,-0.039865640449808434,0.09086641864494885,0.06507590151773422,-0.005109688456261573,-0.0030811216295221306,-0.031602916059648115,0.08103453411298164,0.029397282509928985,-0.0426728344042332
Stock Splits,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,-0.130888777056627,-0.15946847678533047,-0.11275422510730962,-0.13317122064842532,-0.4225403889103326,0.037490382158918,,1.0,-0.5143929795334814,-0.05186432539567486,-0.1274727278031469,-0.21799855266592266,-0.13629043329480878,-0.08443590163295428,-0.024098876578107938,-0.02374101703580372,-0.006193312227695298,-0.7971725166044523,-0.05620556857906395,-0.061879106660820846,0.2904044829741337,-0.6985094304748182,0.02886765316378307,-0.018334386892395242,-0.005991882799340831,-0.6671398481375967
Month,0.13588385108901713,0.1477913015455927,0.13097428202322525,0.13723166430889278,0.1349279033024075,-0.024948799686460275,,-0.5143929795334814,1.0,0.0069519356334856175,-0.06776998408431266,-0.38912798547539995,0.05977616951112951,0.2511145079390121,0.24234077731377532,0.2369885447833364,0.06753074267786054,0.2905525888554808,0.21783545403280258,0.2350520618026397,0.2990062245075872,0.24919512457614043,-0.029915629584409745,0.15787729263794584,0.03916558794157662,0.24037132063112707
Day,-0.011693115255975254,-0.013671596559253261,-0.007869909894603984,-0.005326076375645386,-0.031463428758661795,-0.0625161707856204,,-0.05186432539567486,0.0069519356334856175,1.0,-0.006650770466393664,-0.016843273584811327,-0.011884971954378184,-0.013029278075536279,-0.0014274076886615194,-0.0017563657515722436,0.0006815247399274651,-0.010561021396090907,0.0006086990347236145,0.010080643133530607,-0.03744179893516492,0.016283595380259197,-0.07743132671222498,-0.05480545595914626,0.026436569821954078,0.04631652892938003
