,Open,High,Low,Close,Volume,Dividends,Stock Splits,Year,Month,Day,SMA50,SMA200,EMA20,RSI,MACD,MACD_Signal,MACD_Hist,ATR,Stoch_K,Stoch_D,OBV,Volume_SMA20,Relative_Volume,ROC,Daily_Return,Volatility
Open,1.0,0.8847740177869343,0.8984142283618024,0.8847415362228745,-0.16222994098605245,0.01596627074203158,,0.7336639251458063,-0.2986430985801978,-0.057945417410470976,0.7357078656198323,-0.053700009903458246,0.8550459549552198,0.3626253771191951,0.46302004521312273,0.4609884132970925,0.12112602137207426,0.07595964819787628,0.15814902917801751,0.20532272204318078,0.7194273201812784,-0.39853974753882904,-0.006975587311736067,0.22554215755068557,0.055653627817345556,0.21679440105969716
High,0.8847740177869343,1.0,0.7829590743500735,0.8343668917514384,-0.08816162864495879,0.0008657910470739866,,0.684007432000455,-0.26706230190695845,-0.05120051055517564,0.696996253056497,0.0363068202516801,0.8003961161274599,0.3526286024711371,0.4020938073137427,0.39739368637468536,0.11109103982801248,0.2303544473897862,0.152278328549747,0.18308205623545554,0.6916905356037264,-0.32239200112872285,0.0347350905248341,0.1954401439056234,0.12959736148805776,0.28769269779916734
Low,0.8984142283618024,0.7829590743500735,1.0,0.9382212952545027,-0.22343326748222606,-0.045440847196434486,,0.7546907736683759,-0.3382059832392209,-0.05422015811851293,0.7453912975038925,-0.10767366634770148,0.8670083680253122,0.44028598895129817,0.4985825627306055,0.4668738206671954,0.18978986019836003,-0.04250700143660589,0.23444890829774293,0.2528725466685108,0.70697234239901,-0.44083863601031453,-0.055123982923856375,0.3072900557630919,0.10746927240095154,0.18635167576127137
Close,0.8847415362228745,0.8343668917514384,0.9382212952545027,1.0,-0.1837867586271212,-0.05949630694616501,,0.7695736493963815,-0.32692524738630296,-0.054916072947063396,0.7681973066822428,-0.0757098265807424,0.8880972190745271,0.5026239614345694,0.508928174476381,0.4542949280407744,0.23850136878376246,0.024229501368345764,0.3142961935916098,0.29397965268929954,0.7328154893915557,-0.416863544896698,-0.012218052889608711,0.3611166197971724,0.20739223735782353,0.22044026477850492
Volume,-0.16222994098605245,-0.08816162864495879,-0.22343326748222606,-0.1837867586271212,1.0,-0.010466026084138673,,-0.20575567275956927,0.055017227167590284,0.032164284794506934,-0.176592618292569,0.10520548373965136,-0.2119875277766395,-0.037397475650196105,-0.08903508343279604,-0.11792109067039794,0.03557768419541558,0.1313266237230267,-0.05728912845165509,-0.07189183972414692,-0.24747600576886272,0.3967975897805547,0.6520407910195192,-0.037845129800874955,0.025980684293854042,0.03166354262080748
Dividends,0.01596627074203158,0.0008657910470739866,-0.045440847196434486,-0.05949630694616501,-0.010466026084138673,1.0,,-0.013847320711383648,0.052895886800770946,-0.011673186872416426,-0.022693855510837826,-0.02689949368929183,-0.019283667140663315,-0.07404775817210311,-0.03547821522642048,0.0026993268447424354,-0.08573511686064263,0.026315620900433996,-0.08225476269489058,-0.060475200836334925,0.006269591228545109,-0.0019317320251622475,-0.008004714237954161,-0.05363803392137894,-0.058436165304732314,0.000502162545167907
Stock Splits,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,0.7336639251458063,0.684007432000455,0.7546907736683759,0.7695736493963815,-0.20575567275956927,-0.013847320711383648,,1.0,-0.5143929795334814,-0.05186432539567486,0.8280966403497966,-0.20904497641854514,0.8531370864154318,0.08207604155384045,0.18344051389760171,0.2462930513536838,-0.08001373529973611,-0.008534089491538537,0.07196937445903641,0.08768066608900825,0.7917138163651677,-0.5438288229288553,0.022797985722297208,0.05909660800671885,0.005146452308488736,0.21703294776895726
Month,-0.2986430985801978,-0.26706230190695845,-0.3382059832392209,-0.32692524738630296,0.055017227167590284,0.052895886800770946,,-0.5143929795334814,1.0,0.0069519356334856175,-0.20659591191077592,0.026173311612578843,-0.3164099132376246,-0.16313179968477112,-0.304432553320065,-0.3714172945253528,0.05773872206456707,0.06470446205608675,-0.010389877414482308,-0.008618887096968994,-0.12222528700171588,0.17298324737316065,0.009116522843717589,-0.09550597933872751,0.005814693980919607,0.06051590571343455
Day,-0.057945417410470976,-0.05120051055517564,-0.05422015811851293,-0.054916072947063396,0.032164284794506934,-0.011673186872416426,,-0.05186432539567486,0.0069519356334856175,1.0,-0.011581102253931988,-0.003030651312616816,-0.03529891141544137,-0.07774380447758023,-0.10038107737102078,-0.06277466203953382,-0.10099265384417112,0.07046463094702082,-0.07070686370184417,-0.09583497454640888,-0.019720202253209033,0.07332920252634798,-0.04655091755773771,-0.14054996966519384,0.05669655982700591,0.048984197530701414
