,Open,High,Low,Close,Volume,Dividends,Stock Splits,Year,Month,Day,SMA50,SMA200,EMA20,RSI,MACD,MACD_Signal,MACD_Hist,ATR,Stoch_K,Stoch_D,OBV,Volume_SMA20,Relative_Volume,ROC,Daily_Return,Volatility
Open,1.0,0.9958292835281392,0.9961438011660336,0.9909960489984926,0.24377685392219836,,,0.7765706870771093,-0.0813384364548016,0.022174187777677965,0.890523795678833,0.86837875328987,0.9629820448320101,0.14601551322301648,0.28019892665544605,0.25003291377959863,0.15053079686977852,0.8289979804658242,0.10680392364951834,0.15443412400577047,0.9230883083185784,0.5414221589164259,-0.0915258946314275,0.11702949387804075,-0.06499464701895369,0.07484709971141212
High,0.9958292835281392,1.0,0.9959088336990882,0.9962791659024444,0.2729014851401651,,,0.7791315785178573,-0.07856781998566507,0.021940525907567624,0.8942052730477217,0.8731152451740907,0.9635083666648069,0.15661613116357279,0.2689202438066096,0.23642400091441146,0.15296755373705392,0.8384311152899772,0.12470528670423768,0.15047993593783748,0.9280795877155366,0.5441289247277669,-0.059673183829268804,0.12453954020101653,-0.0018280783270677647,0.08082590178562352
Low,0.9961438011660336,0.9959088336990882,1.0,0.995519775369555,0.23007802835659003,,,0.7788853360396236,-0.08397127790252125,0.029397429745555745,0.8909631211290442,0.8687718450553218,0.9629745897066185,0.15976378708383407,0.27591261832599184,0.24595574214898894,0.1488328812860129,0.8188992914210133,0.12644147452322757,0.15397480909661138,0.9288417240990292,0.5357317091590718,-0.10463061082716354,0.12517385560752942,-0.0067978507568408715,0.06530867234696296
Close,0.9909960489984926,0.9962791659024444,0.995519775369555,1.0,0.2599318650961407,,,0.7763623063362094,-0.07781570922800443,0.024397561522505978,0.8880442514772079,0.8687106212745487,0.95932518532983,0.18242823152682539,0.27663406062835705,0.2415686577179232,0.16127921774049556,0.8275193835634793,0.1583604746877345,0.16365611461764396,0.9298083247072976,0.5428568771433211,-0.07384236195343938,0.14322965702924026,0.052599431295380826,0.07870250994531794
Volume,0.24377685392219836,0.2729014851401651,0.23007802835659003,0.2599318650961407,1.0,,,0.31221654657593373,-0.0660416013614813,-0.06191464589661405,0.2427423080156662,0.3178041466985654,0.2105685444233315,0.1188277242908569,-0.02002175891261707,-0.1277945135133814,0.2527373259705917,0.33466007722434804,0.12260411942390106,0.08721283977318342,0.19838702769202962,0.4834524957605937,0.7730627229470814,0.16508380472385525,0.17823866380240527,0.22814718325518854
Dividends,,,,,,,,,,,,,,,,,,,,,,,,,,
Stock Splits,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,0.7765706870771093,0.7791315785178573,0.7788853360396236,0.7763623063362094,0.31221654657593373,,,1.0,-0.5143929795334814,-0.05186432539567486,0.8604165047192984,0.8759509643106644,0.837067699977663,-0.1986564103937215,-0.12391938345645369,-0.11054332246952844,-0.06665687146635248,0.6489930829507256,-0.15619143031850188,-0.1634204662527666,0.7761951212995933,0.597209850829446,-0.0443167993475818,-0.13879821940704948,-0.04798943694288703,-0.07115136695871462
Month,-0.0813384364548016,-0.07856781998566507,-0.08397127790252125,-0.07781570922800443,-0.0660416013614813,,,-0.5143929795334814,1.0,0.0069519356334856175,-0.14001395133040712,-0.06230728719356863,-0.13377998552481601,0.15769964198407757,0.11764015134813574,0.04143749742576509,0.21549664128170964,0.06492351928505002,0.18445671631353755,0.18604474745736344,-0.13201626115416593,-0.12940257293517451,0.025245740317231983,0.16256542212734296,0.06835167482715558,0.33518314563464235
Day,0.022174187777677965,0.021940525907567624,0.029397429745555745,0.024397561522505978,-0.06191464589661405,,,-0.05186432539567486,0.0069519356334856175,1.0,-0.0078070463835741505,-0.012812336196536628,-0.004741159715139896,0.09664970934264024,0.042843070323141205,0.003371822153417027,0.10657160978930776,0.028070052846346488,0.13227779478971052,0.12905029287671058,-0.001435829458658224,0.005015248156624251,-0.06200590562220216,0.11899174346767342,0.04285890291583016,0.048200067267883534
