,Open,High,Low,Close,Volume,Dividends,Stock Splits,Year,Month,Day,SMA50,SMA200,EMA20,RSI,MACD,MACD_Signal,MACD_Hist,ATR,Stoch_K,Stoch_D,OBV,Volume_SMA20,Relative_Volume,ROC,Daily_Return,Volatility
Open,1.0,0.9989673948163529,0.9989108306421625,0.9975668469508044,-0.3602008834313988,-0.02491499877695715,,0.7810077506535142,0.005819765999016106,0.012681574505011398,0.9560272595118275,0.879307971344675,0.9849199461610566,0.18122453650585243,0.2427319683010311,0.23304642327033795,0.08428451420788349,0.3967595576687248,0.12507858518333442,0.15405913097229004,0.6740173486064377,-0.6628791303301388,0.03865252302255949,0.11396536415946489,-0.014860766215416167,-0.6585515503765913
High,0.9989673948163529,1.0,0.9989102122084068,0.9990288772394144,-0.34706012826068583,-0.02465609297302455,,0.780850941837655,0.005397978931677366,0.011387343175512097,0.9561421632921108,0.8794794800860947,0.9847140567174715,0.18902250313480595,0.24255166988437227,0.23111095389096234,0.08840660103673244,0.40418248054544553,0.13528725683082815,0.15780557570245113,0.6757179912427255,-0.6601234432764329,0.05490832478174472,0.12010848316330754,0.008007508000212604,-0.6540377782037609
Low,0.9989108306421625,0.9989102122084068,1.0,0.9990356221705639,-0.3730041933697079,-0.02663079958982448,,0.7814068932652145,0.005767882824469301,0.016166350140280786,0.955353769774558,0.8793208638265904,0.984008826042562,0.19253309004408053,0.24337637947484642,0.23087099128281952,0.0911428662525986,0.3890947460942915,0.14010915286667153,0.1599348776268057,0.6755092816917755,-0.6652577021175935,0.024956954032453932,0.12392861931168356,0.012990279959828903,-0.6613087813147441
Close,0.9975668469508044,0.9990288772394144,0.9990356221705639,1.0,-0.36049832030075496,-0.023452640834031275,,0.7823507756013058,0.003917220365052841,0.0150012810513743,0.9549163743752466,0.8797677808614501,0.9831334982311657,0.20075079346561536,0.24290056560110737,0.2279334794760956,0.0968679702219636,0.3951620339855,0.15168414115954318,0.16473544955564065,0.6758344469145829,-0.6633979481469615,0.0413637424343428,0.13110048124028156,0.034905815262013015,-0.6585811320969571
Volume,-0.3602008834313988,-0.34706012826068583,-0.3730041933697079,-0.36049832030075496,1.0,0.16664110587853154,,-0.3905913766804673,0.146505909717385,-0.02941585365821388,-0.30070464925650103,-0.3063329303729921,-0.3224185887344839,-0.2158494607174593,-0.1564886659533441,-0.11411890369324833,-0.14011714416799403,0.2881828571201532,-0.20902951849539322,-0.17156729984533536,-0.27182146879690033,0.556735175210364,0.7642097744386285,-0.22951565082590858,-0.22635796530602542,0.5015138973468997
Dividends,-0.02491499877695715,-0.02465609297302455,-0.02663079958982448,-0.023452640834031275,0.16664110587853154,1.0,,-0.03107629555730751,0.028126203575664657,0.05581994373961464,-0.027701984623133957,-0.016826421464631494,-0.029365625983502227,0.02487809064728006,0.007352385877628211,-0.009033955837557256,0.04076533422398755,-0.0052668903037689195,0.01666723129047397,0.012876346273120122,-0.01895493043842629,0.06613870172527288,0.12357037307990751,0.03107457364542539,0.04401965799525646,-0.016102204145262967
Stock Splits,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,0.7810077506535142,0.780850941837655,0.7814068932652145,0.7823507756013058,-0.3905913766804673,-0.03107629555730751,,1.0,-0.5143929795334814,-0.05186432539567486,0.7903643309641932,0.8861479048081421,0.7917806350934631,0.0331100651649304,0.046850135703935855,0.03812499799561708,0.03254662620713899,0.20760392969897,0.05317851980553151,0.06294854806999649,0.23215416735854308,-0.7089994814320115,0.04883638647613267,0.03901266549520314,0.002078013128785311,-0.6275037703995064
Month,0.005819765999016106,0.005397978931677366,0.005767882824469301,0.003917220365052841,0.146505909717385,0.028126203575664657,,-0.5143929795334814,1.0,0.0069519356334856175,0.03534444290848952,-0.10499485893732277,0.01560593698446941,-0.09267203682024046,-0.08728562868676522,-0.07937962843378159,-0.04081100154488787,0.17366275797419922,-0.050826172033849246,-0.06343873523847611,0.20020776164856194,0.28839685744333227,-0.04690711306414441,-0.0797580339246262,-0.017829387012147264,0.0834309018352629
Day,0.012681574505011398,0.011387343175512097,0.016166350140280786,0.0150012810513743,-0.02941585365821388,0.05581994373961464,,-0.05186432539567486,0.0069519356334856175,1.0,-0.010230292029188136,-0.015992889591423254,-0.00547384006949058,0.09325496908306163,0.05229177032662097,0.01736709293015271,0.09613071619144858,-0.05309047957155928,0.09214542395610534,0.08824216776160163,0.023546146955313308,-0.0031903338964245523,-0.04104165510608349,0.11406659534736313,0.03842588043392703,0.01326430040641632
