,Open,High,Low,Close,Volume,Dividends,Stock Splits,Year,Month,Day,SMA50,SMA200,EMA20,RSI,MACD,MACD_Signal,MACD_Hist,ATR,Stoch_K,Stoch_D,OBV,Volume_SMA20,Relative_Volume,ROC,Daily_Return,Volatility
Open,1.0,0.9840739835315044,0.986146613014,0.9725654820715284,-0.13421424499470072,-0.020412920251339117,,0.6453335807671149,-0.5699312387810842,-0.03964299542655266,0.7886328813867481,0.35215326212798925,0.9308420720813638,-0.006693613999762533,0.16039595174276572,0.18555532651245008,-0.039126522928017174,0.6273179495237368,0.017073914506988117,0.09049626336631214,0.4302166933008404,-0.5042921944893695,0.037887821779110833,-0.0505012974401921,-0.16631987210380297,0.2559002930819886
High,0.9840739835315044,1.0,0.9855992653622413,0.9891944208141472,-0.12322841329081122,-0.016136956826875833,,0.6455354251568695,-0.5687195228076402,-0.05843808966892831,0.7791866066918236,0.3411256068067079,0.9240257823867518,0.04030019154818118,0.172796294126472,0.19196679505004408,-0.01964061792679473,0.6579680017172449,0.07558448193804816,0.1119443477267937,0.41999778116263226,-0.49442979966251754,0.051894195306501405,-0.008367340186266663,-0.05038539119438661,0.2692089517332132
Low,0.986146613014,0.9855992653622413,1.0,0.9889089925705883,-0.17045489974496464,-0.013330656795540241,,0.6420426785692778,-0.5687903340534509,-0.043795698305146936,0.7896406827128153,0.3523592120530569,0.9289697818740938,0.026483626262142748,0.1577655486102654,0.17563840943326142,-0.018981714055873025,0.6057175062411065,0.0617399105557207,0.09948906726748397,0.44610235219786354,-0.5072115775515196,0.0022896452763395284,-0.020492013367604207,-0.061089396049362615,0.23905643613042674
Close,0.9725654820715284,0.9891944208141472,0.9889089925705883,1.0,-0.14646931374901173,-0.008111659029020642,,0.639958119016385,-0.5628782180965792,-0.06572412362869136,0.7765536164973622,0.3444539557529599,0.9185497352675024,0.07022312100596108,0.17099245301460247,0.18333848588655524,-0.0006405273983652383,0.6296683324062461,0.12107616984294356,0.12128266847518855,0.43637678850838385,-0.49775889749974794,0.02083505715472888,0.01634313140062586,0.03847853286726128,0.25794035276359134
Volume,-0.13421424499470072,-0.12322841329081122,-0.17045489974496464,-0.14646931374901173,1.0,-0.052849000456658676,,-0.14504105542965715,0.06259869448548382,0.1555528303276611,-0.0930277071421203,-0.12989365255954652,-0.1318453464718866,-0.023371151480527163,-0.05720158678853341,-0.06728514907119147,0.017105911926983644,0.046146067332695835,0.02822233307007046,0.04210944450108235,-0.10127301419026419,0.2612828465057019,0.8695229108513411,-0.00784186876096161,-0.037339985046573286,-0.03128287465781236
Dividends,-0.020412920251339117,-0.016136956826875833,-0.013330656795540241,-0.008111659029020642,-0.052849000456658676,1.0,,-0.12505969919412133,0.11694745006162893,0.06884072592889191,-0.08322874540386596,-0.09616011553997515,-0.055414742729808696,0.10983889552685526,0.0606246990040054,0.05804257041296193,0.01951850826572603,0.011802528138672514,0.10748190591114855,0.0576144659977601,-0.005167352276111121,0.08731135477062985,-0.07990560056471084,0.07255709727026607,0.1099987502922672,-0.011993183290466032
Stock Splits,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,0.6453335807671149,0.6455354251568695,0.6420426785692778,0.639958119016385,-0.14504105542965715,-0.12505969919412133,,1.0,-0.5073340904652803,-0.06815012140306133,0.7716784971940908,0.7478134734565154,0.7284806516432382,-0.31444052755474633,-0.29854124076936706,-0.27045368668227293,-0.1397320037576079,0.4908226635454267,-0.19313349247596726,-0.20176501497243463,0.13470019000615108,-0.514676176714595,0.04597277706629957,-0.25784579965392274,-0.06732004995433143,0.27656691266066513
Month,-0.5699312387810842,-0.5687195228076402,-0.5687903340534509,-0.5628782180965792,0.06259869448548382,0.11694745006162893,,-0.5073340904652803,1.0,0.013102867415689381,-0.5528136732197095,0.041985695512604365,-0.6043882410220216,0.12685724731648482,0.043353021652769407,-0.04127377011484155,0.24882789895173058,-0.37947047808305184,0.17810481041528992,0.18207418228928712,-0.2138377203345119,0.3285234370079599,-0.07197432732470894,0.1794345038676279,0.04695581012703156,-0.020677212247898227
Day,-0.03964299542655266,-0.05843808966892831,-0.043795698305146936,-0.06572412362869136,0.1555528303276611,0.06884072592889191,,-0.06815012140306133,0.013102867415689381,1.0,-0.022511917449571633,-0.020030650917358162,-0.025851465968649578,-0.08280054232720435,-0.0028545947514777062,0.02092288639950646,-0.06803724200765666,-0.08177789526998906,-0.11993631618908158,-0.07776949249860779,-0.024930651057786173,0.05114901600072035,0.1381935267062077,-0.1091030512721066,-0.09131486108707454,0.004586526440509024
