,Open,High,Low,Close,Volume,Dividends,Stock Splits,Year,Month,Day,SMA50,SMA200,EMA20,RSI,MACD,MACD_Signal,MACD_Hist,ATR,Stoch_K,Stoch_D,OBV,Volume_SMA20,Relative_Volume,ROC,Daily_Return,Volatility
Open,1.0,0.9911550754226542,0.9904579548768356,0.9818346331570621,-0.20834756506268048,0.02550165943007572,,0.6886427619339365,-0.1586010298646609,-0.013323317199385126,0.6938340157878806,0.47084133389450145,0.9347548624701808,0.4869659849938442,0.6200391168677568,0.6441900146499784,0.05439251090392307,-0.5109397524017804,0.2468978737493567,0.3229426583879127,-0.2324502932928468,-0.4366073313515947,-0.02374122168127175,0.2735214598278865,-0.06641560358580287,-0.5075529121975618
High,0.9911550754226542,1.0,0.9899650795857418,0.9918624636153708,-0.17350553946976124,0.030439905464844763,,0.6727676698341277,-0.15215104264263768,-0.029005612338030853,0.6841063381869659,0.4823579787194876,0.9264965856936574,0.5269359992840665,0.6285206339209001,0.6439084137021303,0.08242302861432638,-0.4761657310447301,0.29576202531931195,0.3457062060623633,-0.20770175297057242,-0.41824388444006927,0.00459609292489326,0.3133085269174442,0.024971981353701354,-0.48384126141919115
Low,0.9904579548768356,0.9899650795857418,1.0,0.992310740573577,-0.25653679503963667,0.005779534353792023,,0.6985641508524328,-0.15947426969975748,-0.01183922708068525,0.6847197205601478,0.470281688011804,0.9263478996626519,0.5214566928173786,0.6248051301171091,0.6412277735542513,0.07855754974914908,-0.5356596751013837,0.2909805256492163,0.33668474608841437,-0.23635137157853028,-0.4510494405193887,-0.07083284694396016,0.3102983353589658,0.04013185335433917,-0.5322702916132531
Close,0.9818346331570621,0.9918624636153708,0.992310740573577,1.0,-0.21483307616389383,0.020844616687632215,,0.6869230118503928,-0.15667671776141692,-0.022717266764353403,0.6728609818918238,0.46796313796008865,0.9182444213310006,0.5559245934774212,0.6342251061147997,0.6444822932643026,0.09898536531687194,-0.5086023707442581,0.3375190424862622,0.3591976378194654,-0.21671756501631034,-0.4296129522432494,-0.03856718915746395,0.342834888019934,0.11139363231743403,-0.5115926498940787
Volume,-0.20834756506268048,-0.17350553946976124,-0.25653679503963667,-0.21483307616389383,1.0,0.11152794593415054,,-0.17348243274031122,0.01858890890882995,-0.13487408816939883,-0.09858210370613374,-0.08305243596406549,-0.1749680416885796,-0.153354058760819,-0.16513635277093522,-0.16912150956585326,-0.021829113343286775,0.29473723992616424,-0.07497257733134022,-0.07339152133865788,0.026387369253573875,0.37685924404854326,0.8810871860495335,-0.08948031160494428,-0.08356859326993935,0.29884055002049215
Dividends,0.02550165943007572,0.030439905464844763,0.005779534353792023,0.020844616687632215,0.11152794593415054,1.0,,0.004614000117857395,-0.017125948894429633,-0.07396169460884762,-0.0036654083881805547,0.02268378058461673,-0.00995047171244886,0.06910959194538119,0.028750913309418064,-0.01231849467173043,0.12911803319351478,0.0740187535959827,0.06107858041593226,0.08738024923261696,0.029678921397329177,0.071331674850709,0.07852838568381719,0.08854298682511777,-0.07690327263228382,0.06256585811394244
Stock Splits,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,0.6886427619339365,0.6727676698341277,0.6985641508524328,0.6869230118503928,-0.17348243274031122,0.004614000117857395,,1.0,-0.5048231747718435,-0.06266087378782313,0.5931284159400024,0.5521848833665567,0.6899965512212134,0.19560561598993553,0.31037471590944504,0.3294364415529205,0.0063054448090667835,-0.6738273162908285,0.10130201443565201,0.12318919141709339,-0.5734416655939938,-0.4415431721063989,0.01372866669197809,0.1474115506032245,0.018414813711270534,-0.5823854542817947
Month,-0.1586010298646609,-0.15215104264263768,-0.15947426969975748,-0.15667671776141692,0.01858890890882995,-0.017125948894429633,,-0.5048231747718435,1.0,0.012147490154911133,-0.025970265673223143,-0.09085056993107087,-0.12466374759387655,-0.06649292684865285,-0.2068295754642545,-0.22018536059492427,-0.0022415145396868473,0.07732590211266786,-0.029256595396021656,-0.05563206234007697,-0.1835603157834187,0.14617886660600965,-0.05265615297223393,-0.09357174502647526,0.0031859942272108956,0.05506577823710375
Day,-0.013323317199385126,-0.029005612338030853,-0.01183922708068525,-0.022717266764353403,-0.13487408816939883,-0.07396169460884762,,-0.06266087378782313,0.012147490154911133,1.0,0.004460787623606274,-0.03096527853404516,-0.0036479175294054284,-0.0589257647521785,-0.01289869280495986,-0.0009918905206120902,-0.03836742447055193,-0.03100001553889615,-0.07049060515086222,-0.038378360118243166,9.652248996360104e-05,0.031051620914851568,-0.1559767157467364,-0.06349847054427492,-0.030175985611583574,0.02017034314260592
